VLAN_CODE,VLAN_NAME,IP,MODELO,SERIE,UBICACION,DIRECCION,DISTRITO,PROVINCIA,DEPARTAMENTO,TIPO
101,101 - Ag. Camana,118.205.100.68,MX722adhe,74641030241ZF,Plataforma,av Emancipacion 200,Lima,Lima,Lima,Contrato 2021
101,101 - Ag. Camana,118.205.100.69,MX722adhe,746410302421R,Plataforma,av Emancipacion 200,Lima,Lima,Lima,Contrato 2021
102,102 - Ag. Callao,118.205.102.68,MX722adhe,74641101246C3,Plataforma,av Saenz Pena 323,Callao,Callao,Lima,Contrato 2021
102,102 - Ag. Callao,118.205.102.69,MX722adhe,746411112478D,Plataforma,av Saenz Pena 323,Callao,Callao,Lima,Contrato 2021
103,103 - Ag. Capon,118.205.104.68,MX722adhe,7464049023WWK,Plataforma,Jr Ucayali 735,La Victoria,Lima,Lima,Contrato 2021
103,103 - Ag. Capon,118.205.104.69,MX722adhe,7464049023WWL,Plataforma,Jr Ucayali 735,La Victoria,Lima,Lima,Contrato 2021
106,106 - Ag. El Remanso,118.205.108.69,MX432adwe,701941340M407,Sala Prime,av Raul Ferrero 1292 Urb el Remanso,La Molina,Lima,Lima,Contrato 2021
106,106 - Ag. El Remanso,118.205.108.68,MX722adhe,746410202417H,Sub Gerencia,av Raul Ferrero 1292 Urb el Remanso,La Molina,Lima,Lima,Contrato 2021
106,106 - Ag. El Remanso,118.205.108.70,MX722adhe,7464102024187,Banca Negocio,av Raul Ferrero 1292 Urb el Remanso,La Molina,Lima,Lima,Contrato 2021
107,107 - Ag. Faucett,118.205.110.68,MX722adhe,746410202418D,Sub Gerencia,av Faucett 216,San Miguel,Lima,Lima,Contrato 2021
107,107 - Ag. Faucett,118.205.110.69,MX722adhe,746410202419D,Comercial,av Faucett 216,San Miguel,Lima,Lima,Contrato 2021
108,108 - Ag. Brena,118.205.112.68,MX722adhe,74641101246D8,Sub Gerencia,Jr Huaraz 1600,Breña,Lima,Lima,Contrato 2021
108,108 - Ag. Brena,118.205.112.69,MX722adhe,746411112476Y,Ventanilla,Jr Huaraz 1600,Breña,Lima,Lima,Adenda 5
109,109 - Ag. La Molina,118.205.114.68,MX722adhe,7464111124777,Sub Gerencia,av la Molina 746,La Molina,Lima,Lima,Contrato 2021
109,109 - Ag. La Molina,118.205.114.69,MX722adhe,74641101246KT,Ventanilla,av la Molina 746,La Molina,Lima,Lima,Adenda 5
111,111 - Ag. Los Olivos,118.205.118.68,MX722adhe,7464049023WXG,Sub Gerencia,Alfredo Mendiola 3685,Los Olivos,Lima,Lima,Adenda 5
111,111 - Ag. Los Olivos,118.205.118.69,MX722adhe,7464049023WXX,Plataforma,Alfredo Mendiola 3685,Los Olivos,Lima,Lima,Contrato 2021
